gross_output_growth_yoy,land_to_livestock_ratio,historical_survival_rate,subsidy_dependence_index,veterinary_compliance,years_in_operation,pedigree_ratio,previous_subsidies_count,debt_load_ratio,log_amount,livestock_count,direction_code,is_pedigree,is_producer,hour_submitted,month_submitted,region_encoded,historical_score
0.17811250463107764,6.705974401531964,0.8673978075464737,0.06339262852056883,0.9685933975780043,1.0,0.5012143828872199,3,0.8185359637078058,15.3491469727318,309.0,0.0,1,0,11,1,15,65.4
0.16698278998067126,5.513475299865896,0.9262807150842819,0.041391151688245975,0.9789310546787443,1.0,0.6926378147536422,2,1.780815660831519,15.10886719777328,243.0,0.0,1,0,11,1,15,70.3
0.32223945418501737,1.8350795946737746,0.875766954677593,0.2973727763190726,0.9346998798873528,3.0,0.8881535144547745,3,0.6735799434046995,16.51351049055305,99.0,0.0,1,0,11,1,15,70.3
0.21900972263138455,3.101224132847925,0.8870632120870683,0.029458667533099142,0.8590066078651425,6.0,0.6604363620874548,6,0.48654220133185627,14.786289853910306,176.0,0.0,1,0,11,1,15,71.6
-0.12251209066325522,2.1845237411319602,0.9126176539652473,0.03741751449638244,0.6413535847570723,14.0,0.8008227394713815,6,5.0,14.626441218624949,150.0,0.0,1,0,11,1,15,44.0
0.19156908879176796,3.324253646107998,0.8809932832363535,0.2957967473847817,0.800659070768631,2.0,0.7470949678109832,1,2.5565820140540567,15.214227685996272,27.0,0.0,1,0,11,1,15,55.6
0.4848601403429459,6.870768794254247,0.9309657447057829,0.2824771405176787,0.9790579183811224,22.0,0.5662762554264009,5,0.6576165051507006,15.096444681204078,24.0,0.0,1,0,12,1,15,82.6
0.15847133705427394,3.992550700117802,0.8869243648211489,0.04061114784673002,1.0,5.0,0.6612917220373625,5,2.25820517523619,14.80876270134486,180.0,0.0,1,0,12,1,4,61.4
0.2126688793642562,3.144323617014501,0.99,0.08185458806334184,0.6685472934056904,14.0,0.6831617767274673,1,0.6994018145206298,13.60479076121576,54.0,0.0,1,0,12,1,15,70.4
0.2392006554146121,2.2302012570932432,0.8684769338062551,0.03716186954198616,0.902616188807256,10.0,0.583748374172037,6,2.1044555531692155,14.325336281997101,111.0,0.0,1,0,12,1,4,62.2
-0.19822208018656068,2.651078622423747,0.8982631007202577,0.027258731936942702,0.8076477064728721,6.0,0.6877542031676995,2,1.5942240726992045,13.017005083966255,30.0,0.0,1,0,12,1,4,43.2
0.19725100493033526,4.719411975958577,0.8519162394472899,0.02463909511528823,0.9247832895726653,16.0,0.7883092029154458,2,1.4531874136060743,13.710151153416941,60.0,0.0,1,0,12,1,4,72.6
0.06820426294468236,2.1760586355879865,0.8130346636397611,0.035349166441655366,0.7695163118587148,14.0,0.7762922801813007,3,0.7448101652020456,14.427990377462038,123.0,0.0,1,0,12,1,15,54.7
0.07688917244678822,5.543620905952699,0.7693993585269187,0.040197923350340434,0.878404357882411,1.0,0.8302304447351649,2,1.2282986108848695,14.325336281997101,111.0,0.0,1,0,12,1,4,59.4
-0.20387969634501393,4.179399939123512,0.7496983903759262,0.043511001631130426,0.778897230440351,23.0,0.5236053687149982,2,0.9643524360695569,12.323860125621126,15.0,0.0,1,0,12,1,4,44.0
0.2828420061837469,1.893212675972486,0.8617194045503634,0.45681717860145277,0.7913818055689271,10.0,0.8799099881654914,5,1.895476766195083,16.41820031748273,90.0,0.0,1,0,12,1,4,58.8
